numero,en_drive,en_nuevo,estado,archivo_drive,archivo_nuevo
186,True,True,match,Conflictos Sociales N° 186 - Agosto 2019.pdf,Conflictos_Sociales_N_186_-_Agosto_2019.pdf
187,True,True,match,Conflictos Sociales N° 187 - Septiembre 2019.pdf,Conflictos_Sociales_N_187_-_Septiembre_2019.pdf
188,True,True,match,Conflictos-Sociales-N°-188-Octubre-2019.pdf,Conflictos-Sociales-N_-188-Octubre-2019.pdf
189,True,True,match,Conflictos Sociales N° 189 - Noviembre 2019.pdf,Conflictos_Sociales_N_189_-_Noviembre_2019.pdf
190,True,True,match,Conflictos Sociales N° 190 - diciembre 2019.pdf,Conflictos_Sociales_N_190_-_diciembre_2019.pdf
191,True,True,match,Conflictos-Sociales-N°-191-Enero-2020.pdf,Conflictos-Sociales-N_-191-Enero-2020.pdf
192,True,True,match,Reporte Mensual de Conflictos Sociales N° 192 - febrero 2020.pdf,Reporte_Mensual_de_Conflictos_Sociales_N_192_-_febrero_2020.pdf
193,True,True,match,Reporte Mensual de Conflictos Sociales N° 193 - marzo 2020.pdf,Reporte_Mensual_de_Conflictos_Sociales_N_193_-_marzo_2020.pdf
194,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N°-194-abril-2020.pdf,Reporte-Mensual-de-Conflictos-Sociales-N_-194-abril-2020.pdf
195,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N°-195-mayo-2020.pdf,Reporte-Mensual-de-Conflictos-Sociales-N_-195-mayo-2020.pdf
196,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N°-196-junio-2020.pdf,Reporte-Mensual-de-Conflictos-Sociales-N_-196-junio-2020.pdf
197,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N°-197-julio-2020.pdf,Reporte-Mensual-de-Conflictos-Sociales-N_-197-julio-2020.pdf
198,True,True,match,Reporte Mensual de Conflictos Sociales N° 198 - agosto 2020.pdf,Reporte_Mensual_de_Conflictos_Sociales_N_198_-_agosto_2020.pdf
199,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N°-199-septiembre-2020.pdf,Reporte-Mensual-de-Conflictos-Sociales-N_-199-septiembre-2020.pdf
200,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N°-200-octubre-2020.pdf,Reporte-Mensual-de-Conflictos-Sociales-N_-200-octubre-2020.pdf
201,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N°-201-noviembre-2020.pdf,Reporte-Mensual-de-Conflictos-Sociales-N_-201-noviembre-2020.pdf
202,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N°-202-diciembre-2020.pdf,Reporte-Mensual-de-Conflictos-Sociales-N_-202-diciembre-2020.pdf
203,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N°-203-enero-2021.pdf,Reporte-Mensual-de-Conflictos-Sociales-N_-203-enero-2021.pdf
204,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N°-204-febrero-2021.pdf,Reporte-Mensual-de-Conflictos-Sociales-N_-204-febrero-2021.pdf
205,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N°-205-marzo-2021.pdf,Reporte-Mensual-de-Conflictos-Sociales-N_-205-marzo-2021.pdf
206,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N°-206-abril-2021.pdf,Reporte-Mensual-de-Conflictos-Sociales-N_-206-abril-2021.pdf
207,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N°-207-Mayo-2021.pdf,Reporte-Mensual-de-Conflictos-Sociales-N_-207-Mayo-2021.pdf
208,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N°-208-junio-2021.pdf,Reporte-Mensual-de-Conflictos-Sociales-N_-208-junio-2021.pdf
209,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N°-209-julio-2021.pdf,Reporte-Mensual-de-Conflictos-Sociales-N_-209-julio-2021.pdf
210,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N°-210-agosto-2021.pdf,Reporte-Mensual-de-Conflictos-Sociales-N_-210-agosto-2021.pdf
211,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N°-211-setiembre-2021.pdf,Reporte-Mensual-de-Conflictos-Sociales-N_-211-setiembre-2021.pdf
212,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-n.°-212-octubre-2021.pdf,Reporte-Mensual-de-Conflictos-Sociales-n._-212-octubre-2021.pdf
213,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N°-213-noviembre-2021.pdf,Reporte-Mensual-de-Conflictos-Sociales-N_-213-noviembre-2021.pdf
214,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-n.°-214-–-diciembre-2021.pdf,Reporte-Mensual-de-Conflictos-Sociales-n._-214-_-diciembre-2021.pdf
215,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N°-215-Enero-2022-1.pdf,Reporte-Mensual-de-Conflictos-Sociales-N_-215-Enero-2022-1.pdf
216,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N°-216-Febrero-2022-VF.pdf,Reporte-Mensual-de-Conflictos-Sociales-N_-216-Febrero-2022-VF.pdf
217,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N°-217-Marzo-2022.pdf.pdf,Reporte-Mensual-de-Conflictos-Sociales-N_-217-Marzo-2022.pdf.pdf
218,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-n.º-218-–-abril-2022.pdf,Reporte-Mensual-de-Conflictos-Sociales-n.º-218-_-abril-2022.pdf
219,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N°-219-Mayo-2022.pdf,Reporte-Mensual-de-Conflictos-Sociales-N_-219-Mayo-2022.pdf
